SHITOMASI BRIEF
12.5156 14.2952
12.6142 14.5935
14.091 12.1
16.6894 13.5996
15.9082 12.8187
12.6787 14.9582
11.9844 15.0066
13.1241 13.712
13.0241 11.8703
11.1746 14.4076
12.8086 11.3742
8.95978 12.1329
9.96439 11.3892
9.59863 12.1583
8.57352 12.0506
9.51617 10.3348
9.54658 11.1811
8.3988 10.7829
SHITOMASI ORB
12.5156 13.3347
12.6142 13.0764
14.091 12.1609
16.6894 12.6347
15.9082 12.1368
12.6787 15.1536
11.9844 12.998
13.1241 12.3243
13.0241 11.8062
11.1746 13.5257
12.8086 11.3246
8.95978 11.5211
9.96439 11.4066
9.59863 11.9426
8.57352 11.3992
9.51617 10.3105
9.54658 11.0358
8.3988 10.3595
SHITOMASI FREAK
12.5156 13.813
12.6142 14.3958
14.091 12.1
16.6894 13.4653
15.9082 12.7244
12.6787 13.1082
11.9844 12.186
13.1241 11.635
13.0241 11.869
11.1746 13.9253
12.8086 11.4035
8.95978 11.9423
9.96439 11.777
9.59863 11.8781
8.57352 10.4171
9.51617 11.5814
9.54658 11.204
8.3988 10.6212
SHITOMASI SIFT
HARRIS BRIEF
12.5156 10.9082
12.6142 52.7952
14.091 -80.8525
16.6894 11.3951
15.9082 35.3833
12.6787 27.8744
11.9844 14.2744
13.1241 -inf
13.0241 3.90277
11.1746 10.2931
12.8086 11.0967
8.95978 11.6948
9.96439 13.4095
9.59863 12.1403
8.57352 -14.7808
9.51617 6.71705
9.54658 11.1009
8.3988 12.8381
HARRIS ORB
12.5156 10.9082
12.6142 52.7952
14.091 -80.8525
16.6894 11.3951
15.9082 35.3833
12.6787 15.8156
11.9844 13.497
13.1241 35.1513
13.0241 2.85939
11.1746 10.2931
12.8086 11.6702
8.95978 11.6948
9.96439 13.4095
9.59863 5.66097
8.57352 -14.7808
9.51617 6.71705
9.54658 11.1009
8.3988 -inf
HARRIS FREAK
12.5156 8.81335
12.6142 11.0081
14.091 -11.4731
16.6894 11.7693
15.9082 44.9166
12.6787 13.5599
11.9844 13.1905
13.1241 13.5704
13.0241 -2.32568
11.1746 10.2931
12.8086 11.6702
8.95978 11.6948
9.96439 -inf
9.59863 12.1403
8.57352 -inf
9.51617 6.71705
9.54658 12.7384
8.3988 12.8381
HARRIS SIFT
FAST BRIEF
12.5156 12.863
12.6142 13.1767
14.091 13.813
16.6894 14.5426
15.9082 14.9903
12.6787 13.5673
11.9844 13.6889
13.1241 13.4948
13.0241 14.6808
11.1746 13.8308
12.8086 13.018
8.95978 11.7464
9.96439 12.8061
9.59863 10.9532
8.57352 11.3782
9.51617 11.3141
9.54658 10.6183
8.3988 13.6666
FAST ORB
12.5156 11.7136
12.6142 12.7974
14.091 11.7682
16.6894 13.4126
15.9082 16.6514
12.6787 13.2952
11.9844 13.3794
13.1241 12.941
13.0241 12.1563
11.1746 12.3713
12.8086 11.7451
8.95978 11.3382
9.96439 12.1119
9.59863 10.4099
8.57352 11.1729
9.51617 10.871
9.54658 10.009
8.3988 11.9904
FAST FREAK
12.5156 12.761
12.6142 12.6011
14.091 12.7604
16.6894 13.4674
15.9082 14.9903
12.6787 13.3596
11.9844 13.0523
13.1241 14.3186
13.0241 12.3128
11.1746 12.889
12.8086 12.5009
8.95978 11.7243
9.96439 12.1612
9.59863 11.2653
8.57352 11.0544
9.51617 10.9153
9.54658 9.61691
8.3988 10.4876
FAST SIFT
BRISK BRIEF
12.5156 14.9992
12.6142 20.1175
14.091 16.9251
16.6894 20.0304
15.9082 28.3286
12.6787 24.4417
11.9844 17.0682
13.1241 22.2661
13.0241 17.1026
11.1746 16.8181
12.8086 13.4743
8.95978 15.3593
9.96439 14.5958
9.59863 12.2235
8.57352 12.5183
9.51617 14.7614
9.54658 12.1015
8.3988 10.525
BRISK ORB
12.5156 13.6881
12.6142 16.9225
14.091 17.5607
16.6894 18.1289
15.9082 30.9338
12.6787 16.127
11.9844 16.4171
13.1241 21.3854
13.0241 13.604
11.1746 15.0906
12.8086 14.4551
8.95978 10.0202
9.96439 12.5228
9.59863 12.9985
8.57352 14.1963
9.51617 10.8146
9.54658 9.80066
8.3988 10.4273
BRISK FREAK
12.5156 14.9055
12.6142 26.0186
14.091 19.3159
16.6894 14.419
15.9082 40.9274
12.6787 13.7892
11.9844 13.4611
13.1241 17.9531
13.0241 18.3872
11.1746 13.0706
12.8086 12.273
8.95978 13.0262
9.96439 13.2799
9.59863 11.2449
8.57352 13.6522
9.51617 10.4584
9.54658 8.367
8.3988 11.2444
BRISK SIFT
ORB BRIEF
12.5156 15.431
12.6142 -inf
14.091 33.6028
16.6894 30.4898
15.9082 25.0462
12.6787 143.78
11.9844 44.4128
13.1241 64.3744
13.0241 188.579
11.1746 10.8526
12.8086 14.1372
8.95978 15.9503
9.96439 10.7998
9.59863 16.2946
8.57352 -inf
9.51617 19.422
9.54658 28.5165
8.3988 16.9204
ORB ORB
12.5156 24.7809
12.6142 10.5462
14.091 17.4865
16.6894 21.5313
15.9082 30.1357
12.6787 10.2307
11.9844 52.7267
13.1241 10.6963
13.0241 18.651
11.1746 12.6395
12.8086 9.00578
8.95978 32.2001
9.96439 9.4542
9.59863 74.971
8.57352 12.6136
9.51617 8.87432
9.54658 20.3351
8.3988 25.813
ORB FREAK
12.5156 11.9371
12.6142 -inf
14.091 10.9428
16.6894 11.2797
15.9082 75.7574
12.6787 14.4578
11.9844 127.591
13.1241 9.38588
13.0241 30.3425
11.1746 -inf
12.8086 7.95795
8.95978 47.5656
9.96439 7.03048
9.59863 54.1773
8.57352 30.204
9.51617 8.7674
9.54658 -inf
8.3988 21.3301
ORB AKAZE
ORB SIFT
AKAZE BRIEF
12.5156 13.8631
12.6142 16.1318
14.091 13.3453
16.6894 15.5027
15.9082 16.2489
12.6787 15.0083
11.9844 17.2718
13.1241 15.5197
13.0241 17.0459
11.1746 13.491
12.8086 13.5814
8.95978 14.392
9.96439 10.655
9.59863 10.1485
8.57352 10.8241
9.51617 11.5487
9.54658 9.50354
8.3988 9.35621
AKAZE ORB
12.5156 13.1275
12.6142 14.7112
14.091 13.4965
16.6894 15.2423
15.9082 16.7008
12.6787 15.5821
11.9844 15.9458
13.1241 14.8656
13.0241 15.1605
11.1746 11.8186
12.8086 13.0979
8.95978 11.6238
9.96439 11.1679
9.59863 10.3787
8.57352 9.71794
9.51617 10.7162
9.54658 9.26991
8.3988 9.0776
AKAZE FREAK
12.5156 13.1373
12.6142 14.2491
14.091 13.8278
16.6894 15.0585
15.9082 15.5561
12.6787 15.378
11.9844 15.8297
13.1241 14.5169
13.0241 13.6736
11.1746 11.7111
12.8086 12.3423
8.95978 11.0048
9.96439 11.2852
9.59863 9.99992
8.57352 9.12684
9.51617 10.1259
9.54658 9.61949
8.3988 9.12903
AKAZE SIFT
SIFT BRIEF
12.5156 13.0142
12.6142 11.9504
14.091 14.5496
16.6894 18.6291
15.9082 16.2092
12.6787 11.4639
11.9844 14.1791
13.1241 17.1446
13.0241 14.5634
11.1746 12.812
12.8086 12.051
8.95978 9.86362
9.96439 10.6135
9.59863 9.33664
8.57352 9.35955
9.51617 8.9716
9.54658 9.08664
8.3988 8.95726
SIFT ORB
SIFT FREAK
12.5156 12.4092
12.6142 13.8536
14.091 12.6112
16.6894 21.2865
15.9082 14.7482
12.6787 12.4267
11.9844 14.182
13.1241 12.6692
13.0241 14.4774
11.1746 11.2434
12.8086 12.2997
8.95978 10.1807
9.96439 9.49133
9.59863 9.21285
8.57352 8.84027
9.51617 8.97878
9.54658 9.25352
8.3988 8.7216
SIFT SIFT
